,Date,Province_Id,Daily_Total,Daily_100k,N_Day_Rate,NDR_Change,NDRC_Sliding_Window
714,2020-04-26,20,65.0,5.824920803480614,28.52009166129097,0.9524613736807703,0.9640066714223148
1444,2020-04-26,30,7,0.5500601923010433,24.019477131441967,0.9558981590455767,0.9334930578007773
2174,2020-04-26,40,116.0,2.6510328858344114,22.625399493201456,0.6803037241208129,0.9058237615549523
2175,2020-04-27,40,145.0,3.313791107293014,24.839070215892384,1.0978400723203185,0.9132415256569516
57,2020-04-27,10,105,5.283896194085055,24.587456111412145,0.8143356170949124,0.9412696051149245
715,2020-04-27,20,18.0,1.613054991733093,21.450960294153347,0.752135040409697,0.8961864646080369
1445,2020-04-27,30,22,1.7287606043747072,20.96551677910194,0.8728548362802481,0.9125873248554901
2176,2020-04-28,40,163.0,3.725158279232837,18.86575425485416,0.7595193415405536,0.8728711596182174
1446,2020-04-28,30,13,1.0215403571305088,19.337234419683625,0.9223352146968609,0.8798071867956043
58,2020-04-28,10,102,5.1329277313969115,21.819129265246126,0.8874089766089663,0.8826882671466239
716,2020-04-28,20,48.0,4.301479977954915,22.806818135908028,1.0632073260666206,0.9065132084860738
2177,2020-04-29,40,176.0,4.022256792300486,21.54517873412346,1.142025833850766,0.910793689179528
59,2020-04-29,10,102,5.1329277313969115,25.06505147378728,1.1487649744901283,0.9238852750113217
717,2020-04-29,20,60.0,5.376849972443644,28.713140841856216,1.2589717982908375,0.9347872409619533
1447,2020-04-29,30,14,1.1001203846020866,26.088102947225465,1.3491124108559207,0.9529505435125074
2178,2020-04-30,40,156.0,3.5651821568117947,28.63174474690675,1.3289165571673591,0.9531800038845463
1448,2020-04-30,30,25,1.9645006867894401,25.463317702299275,0.9760509514168166,0.9401553416740113
60,2020-04-30,10,92,4.62969952243643,25.79153724678079,1.0289840128097587,0.9184508248056492
718,2020-04-30,20,39.0,3.4949524820883684,25.26423293656867,0.8798839902509048,0.9164554061243632
2179,2020-05-01,40,127.0,2.9024239353531915,23.033729140524954,0.8044822047742451,0.9404144004195898
1449,2020-05-01,30,27,2.1216607417325952,19.778539909813908,0.7767463824255688,0.9156201140419824
61,2020-05-01,10,51,2.5664638656984557,21.244883390910275,0.8237152825608325,0.9075236856905383
719,2020-05-01,20,49.0,4.391094144162309,22.07079537826079,0.8735984755078178,0.9209581252326756
62,2020-05-02,10,46,2.314849761218215,22.421144452689564,1.055366793036038,0.9693360311678879
720,2020-05-02,20,26.0,2.3299683213922457,20.121413251645382,0.9116759458276931,0.9559905642906202
1450,2020-05-02,30,14,1.1001203846020866,17.7265811541591,0.8962532742552625,0.9641787469966079
2180,2020-05-02,40,86.0,1.9654209326013738,16.78957815140728,0.7289127196459094,0.9345714933457093
63,2020-05-03,10,17,0.8554879552328185,15.523405364907504,0.6923556198330174,0.9215616109190934
721,2020-05-03,20,44.0,3.943023313125339,16.899964812334385,0.8398994941845066,0.9399102957911539
1451,2020-05-03,30,7,0.5500601923010433,13.058930860473122,0.7366863777570087,0.9328627782410981
