,Date,Province_Id,Work_Commute_Allowed,Leisure_Travel_Allowed,Holiday,Vacation
206,2020-10-07,20,1,1,0,1
207,2020-10-08,20,1,1,0,1
208,2020-10-09,20,1,1,0,1
209,2020-10-10,20,1,1,0,1
210,2020-10-11,20,1,1,0,1
211,2020-10-12,20,1,1,0,1
212,2020-10-13,20,1,1,0,1
213,2020-10-14,20,1,1,0,1
214,2020-10-15,20,1,1,0,1
215,2020-10-16,20,1,1,0,1
216,2020-10-17,20,1,1,0,1
217,2020-10-18,20,1,1,0,1
218,2020-10-19,20,1,1,0,1
219,2020-10-20,20,1,1,0,1
220,2020-10-21,20,1,1,0,1
221,2020-10-22,20,1,1,0,1
222,2020-10-23,20,1,1,0,1
223,2020-10-24,20,1,1,0,1
224,2020-10-25,20,1,1,0,1
225,2020-10-26,20,1,1,0,1
226,2020-10-27,20,1,1,0,1
227,2020-10-28,20,1,1,0,1
228,2020-10-29,20,1,1,0,1
229,2020-10-30,20,1,1,0,1
230,2020-10-31,20,1,1,0,1
231,2020-11-01,20,1,1,0,1
232,2020-11-02,20,1,1,0,1
233,2020-11-03,20,1,1,0,1
234,2020-11-04,20,1,1,0,1
235,2020-11-05,20,1,1,0,1
236,2020-11-06,20,1,1,0,1
237,2020-11-07,20,1,1,0,1
238,2020-11-08,20,1,1,0,1
239,2020-11-09,20,1,1,0,1
240,2020-11-10,20,1,1,0,1
241,2020-11-11,20,1,1,0,1
242,2020-11-12,20,1,1,0,1
243,2020-11-13,20,1,1,0,1
244,2020-11-14,20,1,1,0,1
245,2020-11-15,20,1,1,0,1
246,2020-11-16,20,1,1,0,0
247,2020-11-17,20,1,1,0,0
248,2020-11-18,20,1,1,0,0
249,2020-11-19,20,1,1,0,0
250,2020-11-20,20,1,1,0,0
251,2020-11-21,20,1,1,0,0
252,2020-11-22,20,1,1,0,0
253,2020-11-23,20,1,1,0,0
254,2020-11-24,20,1,1,0,0
255,2020-11-25,20,1,1,0,0
256,2020-11-26,20,1,1,0,0
257,2020-11-27,20,1,1,0,0
258,2020-11-28,20,1,1,0,0
259,2020-11-29,20,1,1,0,0
260,2020-11-30,20,1,1,0,0
261,2020-12-01,20,1,1,0,0
262,2020-12-02,20,1,1,0,0
263,2020-12-03,20,1,1,0,0
264,2020-12-04,20,1,1,0,0
265,2020-12-05,20,1,1,0,0
266,2020-12-06,20,1,1,0,0
267,2020-12-07,20,1,1,0,0
268,2020-12-08,20,1,1,0,0
269,2020-12-09,20,1,1,0,0
270,2020-12-10,20,1,1,0,0
271,2020-12-11,20,1,1,0,0
272,2020-12-12,20,1,1,0,0
273,2020-12-13,20,1,1,0,0
274,2020-12-14,20,1,1,0,0
275,2020-12-15,20,1,1,0,0
276,2020-12-16,20,1,1,0,0
277,2020-12-17,20,1,1,0,0
278,2020-12-18,20,1,1,0,0
279,2020-12-19,20,1,1,0,1
280,2020-12-20,20,1,1,0,1
281,2020-12-21,20,1,1,0,1
282,2020-12-22,20,1,1,0,1
283,2020-12-23,20,1,1,0,1
284,2020-12-24,20,1,1,0,1
285,2020-12-25,20,1,1,1,1
286,2020-12-26,20,1,1,1,1
287,2020-12-27,20,1,1,1,1
288,2020-12-28,20,1,1,0,1
289,2020-12-29,20,1,1,0,1
290,2020-12-30,20,1,1,0,1
291,2020-12-31,20,1,1,0,1
292,2021-01-01,20,1,1,1,1
